customer_id,join_date,age,gender,location,preferred_payment,total_orders,total_returns,avg_order_value
C00001,2023-01-31,35,Female,Delhi,COD,20,0,1936.29
C00002,2023-12-30,27,Female,Chennai,DebitCard,82,5,871.27
C00003,2022-05-10,42,Male,Hyderabad,CreditCard,34,6,1957.98
C00004,2023-07-18,19,Female,Delhi,DebitCard,53,15,2251.15
C00005,2023-02-04,42,Male,Delhi,COD,64,14,2250.22
C00006,2022-12-31,50,Female,Bangalore,UPI,23,19,2500.7
C00007,2024-09-20,53,Female,Chennai,Wallet,27,1,2604.59
C00008,2022-11-10,48,Male,Kolkata,COD,17,15,508.63
C00009,2024-06-26,31,Female,Hyderabad,UPI,48,16,1226.82
C00010,2020-05-01,18,Female,Mumbai,COD,21,14,2155.23
C00011,2021-04-11,63,Female,Delhi,CreditCard,50,2,1646.18
C00012,2023-05-23,33,Male,Kolkata,DebitCard,40,3,814.83
C00013,2020-11-26,63,Male,Hyderabad,Wallet,95,11,1792.32
C00014,2024-01-22,20,Male,Mumbai,UPI,3,4,1400.08
C00015,2020-03-28,52,Male,Kolkata,Wallet,17,16,1353.1
C00016,2023-10-28,58,Male,Chennai,Wallet,61,5,2486.34
C00017,2023-01-28,23,Female,Chennai,Wallet,50,9,1400.52
C00018,2022-05-21,42,Male,Hyderabad,UPI,90,17,371.43
C00019,2024-08-14,30,Female,Mumbai,UPI,87,9,456.77
C00020,2020-05-10,51,Female,Chennai,Wallet,6,5,2611.86
C00021,2024-08-12,25,Female,Hyderabad,DebitCard,28,5,2893.62
C00022,2023-08-25,38,Male,Chennai,COD,72,19,2158.71
C00023,2022-02-08,51,Female,Chennai,Wallet,55,14,1283.79
C00024,2020-12-09,21,Female,Kolkata,CreditCard,58,3,2834.22
C00025,2024-02-24,42,Male,Kolkata,Wallet,45,15,2089.57
C00026,2023-12-08,32,Male,Chennai,UPI,72,7,2579.7
C00027,2022-03-16,21,Female,Bangalore,COD,19,6,2367.8
C00028,2021-01-20,62,Male,Kolkata,CreditCard,29,18,1323.68
C00029,2023-04-30,29,Male,Mumbai,COD,23,16,1592.5
C00030,2022-08-13,49,Male,Hyderabad,COD,32,12,802.56
C00031,2020-10-03,49,Male,Hyderabad,CreditCard,10,14,1088.44
C00032,2023-03-30,45,Female,Mumbai,Wallet,91,1,2400.94
C00033,2021-04-04,30,Male,Mumbai,Wallet,49,9,2713.74
C00034,2023-08-30,48,Female,Mumbai,Wallet,65,12,2256.04
C00035,2020-01-22,31,Female,Mumbai,DebitCard,29,17,1555.97
C00036,2020-09-09,37,Female,Delhi,Wallet,59,10,533.58
C00037,2022-01-17,35,Female,Hyderabad,CreditCard,45,12,453.76
C00038,2022-05-06,46,Female,Delhi,DebitCard,67,18,1310.68
C00039,2024-05-03,23,Male,Chennai,Wallet,51,4,1552.32
C00040,2021-04-19,49,Female,Chennai,DebitCard,95,2,1944.63
C00041,2022-12-18,46,Female,Hyderabad,CreditCard,11,18,317.52
C00042,2021-05-25,60,Female,Chennai,Wallet,86,12,2972.25
C00043,2024-09-01,19,Female,Mumbai,UPI,82,4,1282.63
C00044,2024-02-08,40,Male,Delhi,CreditCard,99,11,2589.86
C00045,2021-11-30,36,Male,Mumbai,COD,6,13,1744.41
C00046,2022-09-02,48,Female,Chennai,COD,67,5,652.19
C00047,2024-12-11,22,Male,Kolkata,CreditCard,62,8,2453.43
C00048,2020-07-08,36,Female,Delhi,COD,5,16,2216.53
C00049,2022-08-15,51,Male,Mumbai,CreditCard,9,7,1724.08
C00050,2021-11-17,27,Male,Hyderabad,UPI,28,12,1689.29
C00051,2022-08-15,42,Male,Mumbai,CreditCard,83,4,536.19
C00052,2021-07-16,19,Male,Kolkata,Wallet,92,16,2070.79
C00053,2024-05-09,28,Female,Chennai,Wallet,91,2,2760.36
C00054,2023-06-21,48,Male,Delhi,DebitCard,77,5,551.76
C00055,2022-04-11,32,Other,Hyderabad,COD,38,13,1011.48
C00056,2024-03-08,26,Female,Delhi,COD,43,14,2736.23
C00057,2023-02-28,40,Male,Hyderabad,CreditCard,21,13,1067.73
C00058,2024-02-17,36,Female,Delhi,COD,91,10,2065.65
C00059,2021-10-08,26,Female,Chennai,Wallet,62,10,1744.01
C00060,2020-01-21,52,Female,Hyderabad,UPI,46,8,1910.08
C00061,2022-04-20,38,Male,Bangalore,CreditCard,70,5,1422.63
C00062,2020-06-15,26,Female,Delhi,COD,38,14,1109.98
C00063,2023-07-21,45,Female,Delhi,Wallet,49,11,431.04
C00064,2021-01-22,63,Male,Mumbai,DebitCard,75,5,2309.56
C00065,2021-08-23,24,Male,Hyderabad,COD,81,0,2314.45
C00066,2020-11-11,33,Female,Kolkata,UPI,39,15,2110.96
C00067,2020-01-14,33,Male,Bangalore,UPI,71,19,2037.81
C00068,2020-08-29,50,Female,Chennai,COD,30,14,958.04
C00069,2022-02-15,21,Male,Mumbai,COD,21,1,360.33
C00070,2023-10-01,21,Female,Bangalore,Wallet,1,16,2483.53
C00071,2021-07-18,56,Female,Hyderabad,COD,89,2,1626.07
C00072,2022-06-16,57,Male,Bangalore,DebitCard,32,2,1128.46
C00073,2023-09-25,34,Male,Delhi,Wallet,8,4,575.22
C00074,2020-04-01,54,Female,Delhi,CreditCard,69,16,469.35
