order_id,customer_id,product_id,order_date,delivery_date,payment_type,price,discount_percent,quantity,shipping_region,expected_delivery_days,product_rating,product_category,product_subcategory,brand,loyalty_points,is_first_order,device_type,referral
O000001,C00247,P00906,2024-03-08 02:00:00,2024-03-12 02:00:00,DebitCard,1413.25,0.72,3,West,4,2.8,Apparel,Shoes,Puma,429,True,Desktop,CampaignB
O000002,C01557,P00268,2024-10-05 02:00:00,2024-10-08 02:00:00,CreditCard,328.4,20.15,1,North,3,1.3,Apparel,Shoes,Samsung,338,False,Mobile,Organic
O000003,C00206,P00045,2023-10-22 13:00:00,2023-10-24 13:00:00,CreditCard,3366.84,49.49,3,West,2,3.9,Home,Kitchen,L'Oreal,416,False,Tablet,Organic
O000004,C00673,P00561,2025-05-08 05:00:00,2025-05-18 05:00:00,DebitCard,1185.09,35.19,1,West,10,2.0,Sports,TeamSports,Adidas,92,False,Tablet,SocialMedia
O000005,C00806,P00522,2023-04-23 12:00:00,2023-05-03 12:00:00,Wallet,4391.56,22.81,4,South,10,2.2,Apparel,Dresses,L'Oreal,279,False,Desktop,CampaignA
O000006,C00006,P00824,2024-02-28 03:00:00,2024-03-02 03:00:00,Wallet,4204.03,6.56,1,South,3,3.5,Sports,Accessories,Sony,193,False,Mobile,Organic
O000007,C00811,P00705,2024-06-17 11:00:00,2024-06-20 11:00:00,UPI,2611.96,7.44,4,West,3,1.7,Home,Kitchen,Samsung,151,False,Tablet,CampaignB
O000008,C01984,P00790,2023-03-21 01:00:00,2023-03-26 01:00:00,CreditCard,686.37,17.63,3,West,5,4.6,Beauty,Skincare,Philips,239,True,Mobile,SocialMedia
O000009,C02115,P00142,2025-04-15 23:00:00,2025-04-17 23:00:00,UPI,3029.43,41.01,2,South,2,2.1,Beauty,Skincare,LG,68,False,Mobile,CampaignA
O000010,C01112,P00803,2025-08-24 12:00:00,2025-08-28 12:00:00,CreditCard,2215.6,26.63,3,South,4,2.4,Electronics,Smartphones,Samsung,213,False,Desktop,Organic
O000011,C01857,P00456,2024-12-15 01:00:00,2024-12-25 01:00:00,UPI,4623.63,4.07,4,South,10,1.5,Beauty,Haircare,Adidas,264,False,Desktop,CampaignB
O000012,C02042,P00082,2024-01-02 22:00:00,2024-01-05 22:00:00,CreditCard,4013.29,8.83,1,East,3,1.0,Home,Appliances,Sony,281,False,Desktop,Organic
O000013,C02203,P00264,2024-12-16 05:00:00,2024-12-19 05:00:00,UPI,842.08,28.73,3,North,3,3.8,Beauty,Haircare,Nike,157,False,Desktop,SocialMedia
O000014,C02145,P00569,2024-11-28 09:00:00,2024-12-05 09:00:00,CreditCard,2309.64,34.28,4,West,7,1.7,Home,Appliances,Sony,83,False,Tablet,CampaignB
O000015,C00669,P00896,2024-05-17 00:00:00,2024-05-21 00:00:00,UPI,4727.58,3.83,3,North,4,1.7,Electronics,Cameras,LG,121,False,Tablet,CampaignA
O000016,C00298,P00322,2023-11-08 20:00:00,2023-11-18 20:00:00,CreditCard,1577.04,11.32,1,North,10,2.4,Home,Appliances,LG,326,False,Mobile,CampaignB
O000017,C02779,P00740,2023-03-04 18:00:00,2023-03-13 18:00:00,UPI,3421.17,35.36,2,West,9,1.2,Electronics,Laptops,Levis,386,False,Mobile,CampaignB
O000018,C00497,P00966,2023-02-18 06:00:00,2023-02-28 06:00:00,DebitCard,3221.07,18.24,2,South,10,3.0,Beauty,Haircare,Nike,96,False,Desktop,CampaignB
O000019,C00592,P00449,2024-07-22 07:00:00,2024-07-29 07:00:00,UPI,2832.88,22.91,2,North,7,4.9,Sports,TeamSports,Adidas,493,False,Tablet,Organic
O000020,C02691,P00812,2023-06-13 00:00:00,2023-06-23 00:00:00,CreditCard,4459.83,22.41,1,South,10,4.1,Apparel,Shoes,Apple,19,False,Mobile,CampaignA
O000021,C00920,P00551,2024-07-01 09:00:00,2024-07-04 09:00:00,DebitCard,1881.62,12.02,1,East,3,3.3,Apparel,Jeans,Apple,131,False,Desktop,Organic
O000022,C01503,P00645,2023-04-28 22:00:00,2023-05-08 22:00:00,DebitCard,3671.03,33.2,1,North,10,2.5,Home,Furniture,Samsung,218,True,Desktop,CampaignB
O000023,C01444,P00733,2024-02-03 02:00:00,2024-02-09 02:00:00,Wallet,2264.54,10.54,1,South,6,1.4,Apparel,Dresses,Sony,370,False,Desktop,Organic
O000024,C00448,P00593,2025-03-18 20:00:00,2025-03-27 20:00:00,COD,3049.97,49.94,4,South,9,1.6,Beauty,Skincare,LG,119,False,Mobile,CampaignA
O000025,C00537,P00881,2024-07-13 20:00:00,2024-07-15 20:00:00,COD,4297.46,21.95,3,East,2,2.2,Sports,Accessories,L'Oreal,215,False,Tablet,CampaignA
O000026,C02313,P00768,2024-04-02 09:00:00,2024-04-04 09:00:00,DebitCard,3249.81,1.52,2,East,2,1.5,Electronics,Headphones,Levis,342,False,Mobile,CampaignB
O000027,C00971,P00296,2024-12-24 08:00:00,2024-12-29 08:00:00,DebitCard,4013.85,26.94,3,West,5,2.7,Sports,Outdoor,Samsung,219,False,Mobile,CampaignB
O000028,C02671,P00549,2025-08-29 15:00:00,2025-09-04 15:00:00,CreditCard,3758.89,17.35,4,North,6,1.9,Beauty,Fragrance,Samsung,420,False,Mobile,SocialMedia
O000029,C02014,P00764,2025-08-14 21:00:00,2025-08-21 21:00:00,DebitCard,3592.52,6.53,1,North,7,3.5,Sports,Outdoor,Levis,204,False,Tablet,CampaignA
O000030,C00153,P00023,2024-11-21 01:00:00,2024-11-25 01:00:00,DebitCard,1199.06,7.06,3,North,4,1.9,Electronics,Laptops,Puma,439,False,Tablet,CampaignA
O000031,C00346,P00456,2024-08-16 21:00:00,2024-08-20 21:00:00,COD,3544.61,19.28,2,East,4,4.0,Beauty,Haircare,Adidas,101,False,Desktop,Organic
O000032,C00401,P00149,2024-06-20 12:00:00,2024-06-27 12:00:00,UPI,1497.68,8.91,1,West,7,3.7,Sports,Fitness,Sony,87,False,Desktop,CampaignB
O000033,C02688,P00140,2023-04-12 23:00:00,2023-04-17 23:00:00,COD,1380.74,1.57,2,North,5,3.4,Apparel,Dresses,Nike,358,False,Mobile,CampaignA
O000034,C00367,P00884,2023-08-13 10:00:00,2023-08-22 10:00:00,DebitCard,3783.79,20.94,4,East,9,4.5,Electronics,Headphones,Samsung,183,False,Desktop,CampaignA
O000035,C01405,P00934,2025-01-01 17:00:00,2025-01-08 17:00:00,COD,1295.5,13.3,1,West,7,3.2,Electronics,Headphones,Samsung,89,False,Desktop,SocialMedia
O000036,C01839,P00581,2023-12-28 19:00:00,2023-12-31 19:00:00,CreditCard,4016.7,15.46,4,South,3,4.1,Apparel,Shoes,Puma,471,False,Tablet,Organic
O000037,C00782,P00430,2025-08-20 03:00:00,2025-08-22 03:00:00,COD,4505.13,8.0,1,East,2,3.0,Sports,Outdoor,Levis,202,False,Mobile,CampaignA
O000038,C00061,P00567,2025-08-28 23:00:00,2025-09-02 23:00:00,UPI,1620.68,5.12,4,West,5,3.1,Beauty,Makeup,Puma,420,False,Tablet,CampaignA
O000039,C00084,P00855,2025-07-13 13:00:00,2025-07-19 13:00:00,UPI,3309.51,41.44,3,South,6,3.4,Electronics,Laptops,Sony,491,False,Mobile,SocialMedia
O000040,C00485,P00491,2024-09-09 09:00:00,2024-09-19 09:00:00,Wallet,3864.76,32.2,1,South,10,2.9,Sports,Outdoor,LG,220,False,Mobile,SocialMedia
O000041,C02845,P00398,2023-05-20 03:00:00,2023-05-24 03:00:00,CreditCard,3577.04,43.83,4,North,4,4.8,Apparel,Jeans,Puma,315,False,Mobile,CampaignB
O000042,C02058,P00462,2023-06-28 11:00:00,2023-07-03 11:00:00,DebitCard,1841.62,18.75,1,East,5,3.5,Apparel,Shoes,LG,80,False,Tablet,CampaignA
O000043,C01833,P00408,2025-03-06 01:00:00,2025-03-12 01:00:00,CreditCard,1852.77,15.95,1,North,6,1.1,Beauty,Makeup,Levis,402,False,Mobile,CampaignB
O000044,C01619,P00875,2025-05-31 23:00:00,2025-06-09 23:00:00,COD,2258.91,35.36,1,North,9,1.2,Beauty,Haircare,Adidas,213,True,Desktop,CampaignA
O000045,C02803,P00859,2023-02-28 07:00:00,2023-03-09 07:00:00,CreditCard,2962.94,22.81,2,South,9,3.9,Home,Appliances,Adidas,118,False,Tablet,SocialMedia
O000046,C01095,P00145,2024-06-23 07:00:00,2024-07-02 07:00:00,CreditCard,4337.37,49.44,2,West,9,3.2,Home,Appliances,Sony,400,False,Tablet,SocialMedia
O000047,C02028,P00950,2023-08-24 22:00:00,2023-08-31 22:00:00,COD,3938.91,19.44,4,South,7,1.6,Home,Furniture,Samsung,194,False,Desktop,Organic
O000048,C02536,P00311,2024-08-31 22:00:00,2024-09-04 22:00:00,CreditCard,3059.87,18.66,4,South,4,4.2,Home,Kitchen,Apple,242,False,Tablet,Organic
O000049,C00330,P00526,2024-11-12 03:00:00,2024-11-20 03:00:00,Wallet,1529.89,42.11,4,West,8,4.6,Home,Kitchen,Samsung,312,True,Mobile,CampaignA
O000050,C01000,P00918,2024-01-17 23:00:00,2024-01-25 23:00:00,COD,2391.18,11.04,1,West,8,2.3,Home,Furniture,Apple,318,False,Mobile,CampaignB
O000051,C00070,P00308,2025-05-11 04:00:00,2025-05-21 04:00:00,CreditCard,4984.94,7.39,3,West,10,2.7,Sports,Accessories,Samsung,161,False,Tablet,Organic
O000052,C00088,P00115,2024-10-16 22:00:00,2024-10-26 22:00:00,DebitCard,489.31,29.82,2,East,10,3.9,Apparel,Shirts,Adidas,168,False,Tablet,Organic
O000053,C01793,P00566,2024-06-14 06:00:00,2024-06-20 06:00:00,COD,2353.56,33.33,1,North,6,2.8,Home,Appliances,Philips,411,False,Desktop,CampaignB
O000054,C01467,P00475,2023-02-10 00:00:00,2023-02-16 00:00:00,CreditCard,650.43,30.29,1,West,6,4.4,Apparel,Jeans,Sony,109,False,Tablet,Organic
O000055,C01352,P00722,2025-03-08 08:00:00,2025-03-13 08:00:00,COD,2407.28,31.15,3,North,5,4.5,Electronics,Laptops,Philips,64,False,Mobile,CampaignB
O000056,C01670,P00785,2023-12-30 21:00:00,2024-01-09 21:00:00,CreditCard,3391.69,48.82,2,South,10,4.3,Beauty,Fragrance,L'Oreal,394,False,Tablet,SocialMedia
O000057,C02922,P00261,2024-04-29 10:00:00,2024-05-03 10:00:00,COD,4302.47,3.55,2,South,4,5.0,Electronics,Laptops,L'Oreal,136,False,Tablet,Organic
O000058,C00267,P00999,2025-08-10 11:00:00,2025-08-17 11:00:00,Wallet,4708.24,0.29,3,North,7,1.4,Electronics,Cameras,Philips,402,False,Tablet,Organic
O000059,C02057,P00708,2025-02-14 00:00:00,2025-02-18 00:00:00,Wallet,638.03,44.48,3,South,4,4.9,Beauty,Skincare,Samsung,60,False,Desktop,Organic
O000060,C02092,P00821,2023-08-28 16:00:00,2023-09-06 16:00:00,CreditCard,745.08,11.41,2,North,9,3.8,Beauty,Fragrance,LG,377,False,Mobile,CampaignB
O000061,C02599,P00481,2025-04-01 11:00:00,2025-04-06 11:00:00,CreditCard,2284.49,20.72,3,West,5,2.2,Electronics,Smartphones,Puma,307,True,Mobile,Organic
O000062,C00983,P00630,2025-04-18 11:00:00,2025-04-23 11:00:00,COD,4409.82,3.48,1,East,5,2.4,Home,Decor,Apple,220,False,Tablet,CampaignB
O000063,C00697,P00146,2024-03-17 19:00:00,2024-03-19 19:00:00,CreditCard,1851.73,29.94,4,South,2,2.2,Sports,Outdoor,Apple,91,False,Tablet,CampaignB
O000064,C00946,P00616,2023-06-01 10:00:00,2023-06-11 10:00:00,UPI,4329.03,37.94,3,North,10,1.8,Home,Decor,Puma,265,False,Desktop,SocialMedia
O000065,C00572,P00867,2025-03-11 02:00:00,2025-03-14 02:00:00,UPI,2514.15,21.1,3,East,3,2.1,Home,Kitchen,Puma,15,False,Desktop,CampaignB
O000066,C01605,P00898,2023-08-04 01:00:00,2023-08-12 01:00:00,DebitCard,4148.68,6.02,3,East,8,3.1,Beauty,Haircare,Adidas,248,False,Mobile,Organic
O000067,C01902,P00828,2023-11-01 19:00:00,2023-11-05 19:00:00,DebitCard,4291.35,22.65,4,East,4,3.1,Sports,Outdoor,Levis,331,False,Tablet,Organic
O000068,C02436,P00710,2023-06-23 20:00:00,2023-06-27 20:00:00,CreditCard,3239.36,20.97,2,West,4,1.3,Electronics,Smartphones,Sony,265,False,Tablet,CampaignA
O000069,C01237,P00931,2023-09-06 14:00:00,2023-09-13 14:00:00,Wallet,4305.18,11.06,2,South,7,1.4,Beauty,Makeup,Adidas,173,False,Tablet,CampaignA
O000070,C00046,P00675,2024-11-08 10:00:00,2024-11-12 10:00:00,UPI,2530.24,42.91,2,North,4,3.9,Home,Decor,Apple,456,False,Mobile,Organic
O000071,C01670,P00645,2024-03-12 05:00:00,2024-03-16 05:00:00,CreditCard,652.1,29.58,2,East,4,3.5,Home,Furniture,Samsung,195,False,Desktop,CampaignA
O000072,C00088,P00005,2023-12-29 02:00:00,2024-01-03 02:00:00,COD,1980.86,8.66,4,North,5,4.4,Apparel,Shoes,Apple,477,False,Desktop,Organic
O000073,C02954,P00521,2023-05-28 12:00:00,2023-05-30 12:00:00,CreditCard,2808.81,1.89,2,West,2,3.1,Home,Furniture,Levis,103,False,Desktop,SocialMedia
O000074,C00596,P00241,2023-08-16 02:00:00,2023-08-24 02:00:00,DebitCard,3019.88,40.3,1,West,8,3.1,Electronics,Headphones,Apple,435,False,Desktop,SocialMedia
O000075,C01072,P00513,2023-05-19 11:00:00,2023-05-28 11:00:00,Wallet,2523.65,32.8,2,South,9,4.0,Sports,Accessories,Samsung,380,True,Mobile,SocialMedia
O000076,C02450,P00579,2023-04-11 15:00:00,2023-04-13 15:00:00,UPI,1001.25,49.83,4,North,2,2.8,Home,Appliances,LG,348,False,Desktop,Organic
O000077,C02944,P00715,2023-05-23 23:00:00,2023-05-26 23:00:00,UPI,3017.52,10.86,3,South,3,1.0,Apparel,Dresses,Sony,0,True,Desktop,CampaignB
O000078,C01690,P00104,2023-04-13 09:00:00,2023-04-23 09:00:00,CreditCard,3658.17,30.27,4,East,10,2.8,Sports,Fitness,L'Oreal,49,False,Tablet,SocialMedia
O000079,C00704,P00985,2025-08-19 21:00:00,2025-08-21 21:00:00,DebitCard,4290.27,1.33,1,South,2,4.9,Beauty,Makeup,Samsung,330,False,Tablet,SocialMedia
O000080,C01679,P00273,2023-08-03 11:00:00,2023-08-05 11:00:00,CreditCard,3159.2,47.38,4,East,2,2.5,Beauty,Haircare,L'Oreal,323,False,Mobile,CampaignB
O000081,C02723,P00403,2024-07-12 19:00:00,2024-07-22 19:00:00,Wallet,510.88,26.75,4,East,10,2.3,Electronics,Smartphones,Samsung,403,False,Tablet,Organic
O000082,C02084,P00584,2024-02-11 01:00:00,2024-02-16 01:00:00,CreditCard,4960.78,49.77,4,North,5,1.6,Beauty,Makeup,Philips,476,False,Desktop,SocialMedia
O000083,C01927,P00644,2023-07-29 16:00:00,2023-07-31 16:00:00,UPI,1687.57,32.33,1,North,2,4.5,Beauty,Fragrance,L'Oreal,102,True,Desktop,CampaignA
O000084,C01292,P00457,2024-02-07 03:00:00,2024-02-16 03:00:00,COD,1032.65,43.99,1,North,9,1.0,Beauty,Skincare,Apple,401,False,Mobile,CampaignB
O000085,C01680,P00988,2023-08-22 05:00:00,2023-08-28 05:00:00,CreditCard,652.97,32.85,4,West,6,3.5,Electronics,Laptops,Levis,477,False,Mobile,Organic
O000086,C02001,P00143,2024-06-26 16:00:00,2024-07-05 16:00:00,DebitCard,3521.5,0.03,3,East,9,3.2,Sports,TeamSports,Adidas,380,False,Mobile,SocialMedia
O000087,C02641,P00444,2023-09-10 10:00:00,2023-09-17 10:00:00,DebitCard,1207.27,36.33,3,East,7,1.9,Home,Kitchen,Samsung,337,False,Mobile,SocialMedia
O000088,C00413,P00399,2023-03-02 22:00:00,2023-03-08 22:00:00,DebitCard,2968.02,1.34,2,West,6,4.1,Apparel,Shirts,Puma,487,False,Desktop,CampaignB
O000089,C02647,P00453,2024-01-02 16:00:00,2024-01-04 16:00:00,COD,4522.81,17.01,3,North,2,1.9,Beauty,Fragrance,Sony,355,False,Mobile,Organic
O000090,C02215,P00949,2025-01-09 06:00:00,2025-01-17 06:00:00,Wallet,2204.16,3.78,1,South,8,2.0,Home,Decor,Philips,444,False,Tablet,CampaignA
O000091,C00519,P00259,2024-06-12 12:00:00,2024-06-22 12:00:00,DebitCard,2224.75,10.18,4,West,10,1.9,Apparel,Shoes,Apple,340,False,Tablet,CampaignB
O000092,C01200,P00906,2024-10-12 06:00:00,2024-10-18 06:00:00,CreditCard,4418.1,41.04,2,West,6,4.5,Apparel,Shoes,Puma,360,False,Tablet,CampaignA
O000093,C00708,P00242,2024-11-16 12:00:00,2024-11-26 12:00:00,Wallet,1946.3,36.11,1,South,10,4.4,Home,Kitchen,Sony,178,False,Mobile,SocialMedia
O000094,C00020,P00701,2023-08-25 00:00:00,2023-08-29 00:00:00,COD,1956.42,47.42,2,South,4,3.7,Sports,Accessories,Sony,201,False,Mobile,CampaignA
O000095,C01383,P00860,2024-08-01 01:00:00,2024-08-04 01:00:00,DebitCard,3567.15,42.84,3,South,3,1.5,Home,Decor,Apple,270,False,Tablet,CampaignB
O000096,C00617,P00353,2025-03-23 10:00:00,2025-03-29 10:00:00,UPI,3510.77,12.57,1,North,6,2.7,Home,Decor,Levis,179,False,Mobile,SocialMedia
O000097,C01242,P00789,2025-01-29 14:00:00,2025-02-06 14:00:00,Wallet,4486.36,46.11,3,East,8,1.4,Electronics,Headphones,LG,356,False,Desktop,SocialMedia
O000098,C00751,P00099,2023-01-17 21:00:00,2023-01-27 21:00:00,DebitCard,1106.93,44.98,3,North,10,1.1,Sports,Outdoor,L'Oreal,157,False,Desktop,CampaignB
O000099,C02137,P00658,2023-07-22 08:00:00,2023-07-25 08:00:00,CreditCard,4702.92,46.97,3,North,3,1.1,Beauty,Haircare,Nike,203,True,Desktop,Organic
O000100,C02872,P00757,2024-07-15 00:00:00,2024-07-21 00:00:00,DebitCard,1883.24,15.37,3,West,6,1.1,Sports,Outdoor,Nike,250,False,Tablet,SocialMedia
O000101,C02819,P00939,2023-02-21 03:00:00,2023-02-25 03:00:00,UPI,4048.01,3.37,3,West,4,1.1,Sports,Outdoor,Levis,93,False,Mobile,SocialMedia
O000102,C00249,P00724,2023-02-22 22:00:00,2023-03-02 22:00:00,UPI,1447.13,18.01,3,South,8,1.0,Home,Furniture,Philips,243,False,Mobile,SocialMedia
