return_id,order_id,return_date,return_reason,refund_amount,pickup_delay_days
R010650,O010651,2025-03-25 03:00:00,Defective,3532.78,3
R002041,O002042,2025-03-23 17:00:00,Defective,3488.66,2
R008668,O008669,2024-05-15 14:00:00,Wrong Item,3804.16,4
R001114,O001115,2024-07-05 15:00:00,Size Issue,1922.28,1
R013902,O013903,2023-11-05 21:00:00,Size Issue,5835.46,1
R011963,O011964,2024-08-25 11:00:00,Other,3240.91,6
R011072,O011073,2023-06-14 15:00:00,Changed Mind,5264.02,3
R003002,O003003,2023-06-07 08:00:00,Wrong Item,2619.54,3
R019771,O019772,2023-05-16 11:00:00,Wrong Item,683.16,3
R008115,O008116,2023-09-29 16:00:00,Wrong Item,2587.03,3
R003525,O003526,2024-11-25 00:00:00,Other,6510.74,2
R007879,O007880,2025-03-11 20:00:00,Changed Mind,2037.84,1
R016441,O016442,2024-03-12 07:00:00,Size Issue,7896.36,2
R016296,O016297,2025-06-09 22:00:00,Defective,7349.34,1
R012566,O012567,2024-04-14 05:00:00,Changed Mind,4440.7,3
R005252,O005253,2025-07-30 22:00:00,Size Issue,9116.38,2
R019393,O019394,2023-04-19 22:00:00,Wrong Item,10897.11,6
R016796,O016797,2023-12-18 11:00:00,Other,788.34,2
R008094,O008095,2023-06-08 15:00:00,Other,841.34,2
R000322,O000323,2023-08-25 19:00:00,Changed Mind,2664.12,5
R009923,O009924,2025-07-09 20:00:00,Defective,16025.32,3
R007459,O007460,2025-08-14 09:00:00,Defective,9210.960000000001,6
R019024,O019025,2023-04-10 11:00:00,Other,12298.84,4
R017553,O017554,2024-09-20 18:00:00,Other,1688.98,2
R009119,O009120,2023-12-11 00:00:00,Defective,3317.6400000000003,2
R016421,O016422,2025-02-17 17:00:00,Size Issue,3477.15,1
R016060,O016061,2025-01-20 08:00:00,Size Issue,1289.46,1
R010120,O010121,2023-08-29 11:00:00,Changed Mind,16097.08,2
R019055,O019056,2023-10-28 20:00:00,Size Issue,9861.78,3
R003649,O003650,2023-07-03 01:00:00,Other,7925.48,6
R003941,O003942,2023-11-02 03:00:00,Defective,3459.62,3
R017880,O017881,2024-09-22 06:00:00,Defective,9254.19,2
R016675,O016676,2024-03-06 19:00:00,Changed Mind,13039.349999999999,3
R012630,O012631,2025-04-23 01:00:00,Changed Mind,2369.2,2
R011443,O011444,2024-01-15 11:00:00,Size Issue,2699.38,6
R012157,O012158,2023-09-27 18:00:00,Wrong Item,908.09,1
R013835,O013836,2023-05-16 03:00:00,Changed Mind,4982.58,5
R003434,O003435,2023-06-22 16:00:00,Changed Mind,8678.099999999999,6
R018739,O018740,2025-04-02 15:00:00,Defective,7934.2,6
R017407,O017408,2023-05-24 16:00:00,Defective,13801.41,4
R015440,O015441,2024-04-13 04:00:00,Changed Mind,6386.04,4
R010406,O010407,2023-05-31 02:00:00,Size Issue,8411.31,2
R006517,O006518,2023-12-09 03:00:00,Wrong Item,2159.78,4
R000971,O000972,2023-03-12 06:00:00,Other,11167.02,3
R016487,O016488,2024-05-26 17:00:00,Wrong Item,7563.98,4
R019730,O019731,2025-02-04 22:00:00,Size Issue,13785.09,1
R013137,O013138,2024-03-08 18:00:00,Defective,3271.98,5
R003669,O003670,2025-05-11 05:00:00,Other,7954.48,2
R015983,O015984,2025-02-17 13:00:00,Size Issue,11232.56,5
R004058,O004059,2024-09-28 06:00:00,Size Issue,4251.3,3
R014976,O014977,2024-12-13 14:00:00,Wrong Item,1543.58,4
R015698,O015699,2023-04-20 05:00:00,Wrong Item,9707.02,2
R013829,O013830,2023-06-05 16:00:00,Changed Mind,3665.2,3
R013419,O013420,2025-04-25 19:00:00,Size Issue,16976.84,6
R000960,O000961,2024-12-02 17:00:00,Defective,354.83,2
R017744,O017745,2024-12-30 20:00:00,Defective,2452.78,4
R009864,O009865,2025-05-08 09:00:00,Size Issue,5624.4,4
R011263,O011264,2023-07-11 03:00:00,Other,8702.88,2
R015782,O015783,2023-04-22 04:00:00,Other,3201.92,6
R017196,O017197,2023-11-08 11:00:00,Defective,602.3,6
R007554,O007555,2024-03-12 10:00:00,Changed Mind,5137.68,1
R010498,O010499,2024-05-31 10:00:00,Wrong Item,7287.599999999999,1
R017059,O017060,2023-12-14 09:00:00,Size Issue,3388.82,4
R017928,O017929,2023-08-14 17:00:00,Wrong Item,13664.24,1
R007085,O007086,2023-03-14 01:00:00,Wrong Item,1609.56,6
R014753,O014754,2025-08-28 16:00:00,Defective,448.42,3
R004519,O004520,2025-05-14 13:00:00,Wrong Item,2372.67,6
R003024,O003025,2025-02-12 09:00:00,Defective,3320.72,1
R012121,O012122,2023-11-04 07:00:00,Defective,1406.46,1
R018494,O018495,2024-09-10 00:00:00,Wrong Item,9877.17,2
R005483,O005484,2023-09-18 14:00:00,Changed Mind,4084.42,6
R001419,O001420,2023-12-19 07:00:00,Other,5165.0,3
R006209,O006210,2025-03-25 22:00:00,Defective,6196.8,1
R010742,O010743,2024-09-09 19:00:00,Changed Mind,4391.85,6
R016143,O016144,2025-03-02 01:00:00,Wrong Item,14739.88,6
R017617,O017618,2024-02-01 01:00:00,Size Issue,856.22,5
R014568,O014569,2025-04-07 03:00:00,Defective,13763.310000000001,6
R000980,O000981,2024-08-09 06:00:00,Other,18988.2,4
R002783,O002784,2025-03-05 11:00:00,Changed Mind,4269.5,4
R007713,O007714,2023-12-08 11:00:00,Defective,6894.56,4
R011518,O011519,2025-08-14 23:00:00,Other,4259.700000000001,1
R008600,O008601,2023-12-07 00:00:00,Defective,1500.27,2
R011640,O011641,2025-08-06 01:00:00,Defective,3980.12,3
R018830,O018831,2023-09-27 04:00:00,Size Issue,7481.68,4
R012562,O012563,2025-05-14 10:00:00,Size Issue,2764.69,1
R012751,O012752,2025-06-02 09:00:00,Defective,4760.87,2
R006384,O006385,2025-03-29 06:00:00,Defective,4939.64,2
R004807,O004808,2024-03-20 20:00:00,Size Issue,7118.56,3
R006195,O006196,2023-11-14 05:00:00,Size Issue,6326.62,6
R010648,O010649,2024-09-27 20:00:00,Other,5460.12,6
R007567,O007568,2025-07-09 06:00:00,Defective,584.49,4
R016397,O016398,2024-02-10 04:00:00,Size Issue,711.58,4
R017524,O017525,2023-07-31 12:00:00,Changed Mind,5885.72,1
R001346,O001347,2023-04-01 19:00:00,Other,1998.54,2
R013124,O013125,2024-08-04 12:00:00,Size Issue,4310.04,5
R012673,O012674,2023-12-12 03:00:00,Size Issue,3546.8,5
R015455,O015456,2025-05-06 21:00:00,Wrong Item,1709.23,6
R014001,O014002,2024-07-01 00:00:00,Wrong Item,7248.76,3
R018621,O018622,2023-04-22 15:00:00,Other,6218.2,4
R002119,O002120,2025-08-11 13:00:00,Defective,5663.68,3
R015304,O015305,2023-04-09 01:00:00,Other,3982.65,4
R004309,O004310,2023-07-22 22:00:00,Size Issue,4369.48,1
R004484,O004485,2023-03-17 00:00:00,Defective,13023.16,4
R011013,O011014,2025-05-23 14:00:00,Wrong Item,5839.64,6
R004770,O004771,2024-03-02 21:00:00,Size Issue,2333.58,3
R002712,O002713,2023-11-06 08:00:00,Defective,4884.44,5
R012186,O012187,2024-01-01 04:00:00,Other,3174.88,2
R016615,O016616,2024-01-12 05:00:00,Size Issue,18420.36,4
R010947,O010948,2025-03-01 22:00:00,Other,1520.26,4
R002545,O002546,2024-03-04 19:00:00,Wrong Item,4461.3,3
R012619,O012620,2025-08-31 01:00:00,Size Issue,9967.56,1
R009851,O009852,2024-07-06 09:00:00,Wrong Item,12776.73,4
R004410,O004411,2024-09-19 14:00:00,Size Issue,1499.58,6
R019647,O019648,2025-03-06 19:00:00,Other,3988.6,6
R012344,O012345,2023-04-05 02:00:00,Changed Mind,15303.84,1
R012407,O012408,2025-04-15 08:00:00,Wrong Item,2784.17,5
R009610,O009611,2023-03-01 16:00:00,Wrong Item,13955.76,5
R010718,O010719,2025-04-01 14:00:00,Defective,14969.400000000001,2
R007571,O007572,2023-06-17 08:00:00,Changed Mind,2037.88,3
R003570,O003571,2024-01-12 18:00:00,Wrong Item,5347.88,2
R008602,O008603,2024-01-16 03:00:00,Defective,3942.16,2
R003559,O003560,2023-02-27 14:00:00,Wrong Item,8467.48,5
R004991,O004992,2023-08-10 21:00:00,Changed Mind,7325.039999999999,5
R007439,O007440,2024-05-27 15:00:00,Other,4433.58,6
R009325,O009326,2024-07-03 21:00:00,Size Issue,16307.8,3
R002300,O002301,2025-09-21 05:00:00,Other,949.04,4
R007666,O007667,2024-10-08 20:00:00,Size Issue,7651.12,6
R005804,O005805,2025-06-17 13:00:00,Other,13015.8,5
R012022,O012023,2023-06-18 20:00:00,Size Issue,12323.82,6
R015537,O015538,2023-02-24 02:00:00,Changed Mind,8994.6,6
R009757,O009758,2023-12-29 14:00:00,Changed Mind,4219.97,6
R012014,O012015,2024-08-30 06:00:00,Other,2219.9700000000003,4
R005211,O005212,2024-08-09 06:00:00,Changed Mind,19687.16,1
R011548,O011549,2025-02-12 17:00:00,Size Issue,7857.04,3
R012366,O012367,2025-03-06 20:00:00,Size Issue,8476.04,6
R009270,O009271,2024-12-07 11:00:00,Defective,7596.72,6
R003975,O003976,2023-07-15 22:00:00,Size Issue,16030.44,4
R016090,O016091,2023-03-13 09:00:00,Size Issue,5328.6,1
R017232,O017233,2023-07-30 11:00:00,Other,13254.84,6
R017443,O017444,2024-08-28 20:00:00,Defective,6461.4,6
R013656,O013657,2024-07-12 20:00:00,Wrong Item,6238.41,2
R015645,O015646,2025-06-10 06:00:00,Wrong Item,4726.52,5
R002730,O002731,2023-07-01 11:00:00,Defective,8560.62,5
R003298,O003299,2023-06-27 02:00:00,Size Issue,12874.76,3
R008956,O008957,2025-01-08 12:00:00,Wrong Item,522.94,1
R017410,O017411,2025-05-20 17:00:00,Changed Mind,5382.76,3
R015155,O015156,2023-09-22 19:00:00,Size Issue,1823.52,5
R017276,O017277,2023-11-19 10:00:00,Other,1408.04,6
R006703,O006704,2025-04-03 07:00:00,Wrong Item,7285.0,3
R001968,O001969,2024-05-18 12:00:00,Changed Mind,9786.52,2
R004936,O004937,2024-04-13 18:00:00,Changed Mind,3981.84,6
R002112,O002113,2025-03-29 05:00:00,Wrong Item,1241.4,5
R000878,O000879,2024-01-23 17:00:00,Defective,6949.6,2
R019075,O019076,2024-01-24 10:00:00,Changed Mind,10212.900000000001,1
R012989,O012990,2024-12-30 06:00:00,Size Issue,363.2,3
R007277,O007278,2024-06-09 04:00:00,Size Issue,6057.93,2
R005709,O005710,2025-03-29 10:00:00,Size Issue,12630.64,5
R012078,O012079,2023-06-25 19:00:00,Defective,10777.44,4
R006687,O006688,2023-03-23 20:00:00,Changed Mind,15718.88,3
R006418,O006419,2024-10-26 18:00:00,Size Issue,6650.82,6
R010431,O010432,2024-12-20 22:00:00,Other,5893.32,2
R009982,O009983,2025-08-30 19:00:00,Changed Mind,3473.82,3
R019073,O019074,2023-05-08 21:00:00,Other,7743.36,1
R004629,O004630,2023-01-16 19:00:00,Other,7868.44,6
R008862,O008863,2024-07-25 04:00:00,Changed Mind,5778.36,5
R004667,O004668,2024-07-14 16:00:00,Changed Mind,4251.66,4
R014163,O014164,2025-07-09 23:00:00,Other,13164.599999999999,3
R000385,O000386,2025-02-26 21:00:00,Other,8804.3,4
R004186,O004187,2024-03-27 14:00:00,Changed Mind,9246.81,5
R005345,O005346,2024-12-08 17:00:00,Wrong Item,2417.02,6
